GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Solucao1,com.mycompany.solucao1,BenchPress,153,55,9,3,23,16,11,6,5,6
Solucao1,com.mycompany.solucao1,GestorDesportivo,1234,68,84,2,206,17,103,3,60,3
Solucao1,com.mycompany.solucao1,PlanoTreino,33,573,4,52,7,119,4,45,0,21
Solucao1,com.mycompany.solucao1,AtivRepeticoes,19,77,4,6,2,21,5,8,1,7
Solucao1,com.mycompany.solucao1,AtivRepsPeso,4,95,3,7,0,24,3,10,0,8
Solucao1,com.mycompany.solucao1,Corrida,87,38,3,3,17,12,6,5,3,5
Solucao1,com.mycompany.solucao1,UtilizadorAmador,65,14,6,0,17,4,10,2,7,2
Solucao1,com.mycompany.solucao1,BicepCurls,71,137,7,5,7,32,10,7,4,7
Solucao1,com.mycompany.solucao1,LegPress,169,39,9,3,27,12,12,5,6,5
Solucao1,com.mycompany.solucao1,AtivDistancia,4,104,3,7,0,25,3,11,0,9
Solucao1,com.mycompany.solucao1,Menu,99,157,9,9,36,47,9,11,3,8
Solucao1,com.mycompany.solucao1,Flexoes,124,0,6,0,29,0,11,0,8,0
Solucao1,com.mycompany.solucao1,Abdominais,75,49,2,4,15,14,5,6,3,5
Solucao1,com.mycompany.solucao1,PlanoTreino.AtividadeIteracoes,0,110,0,10,0,26,0,14,0,9
Solucao1,com.mycompany.solucao1,Utilizador,676,338,57,7,135,91,75,23,43,23
Solucao1,com.mycompany.solucao1,Ciclismo,76,49,2,4,15,14,4,7,2,6
Solucao1,com.mycompany.solucao1,Btt,148,57,8,4,25,16,11,7,6,6
Solucao1,com.mycompany.solucao1,UtilizadorProfissional,63,16,6,0,16,5,9,3,6,3
Solucao1,com.mycompany.solucao1,Solucao1,14,19,1,1,3,6,1,3,0,3
Solucao1,com.mycompany.solucao1,Atividade,7,212,5,11,2,52,6,18,1,15
Solucao1,com.mycompany.solucao1,AppDesportiva,1679,346,163,12,448,61,110,18,9,15
Solucao1,com.mycompany.solucao1,AtivDistAltimetria,4,88,3,7,0,23,3,10,0,8
Solucao1,com.mycompany.solucao1,Trail,109,96,8,4,18,23,10,8,4,8
Solucao1,com.mycompany.solucao1,UtilizadorPraticanteOcasional,52,27,6,0,12,9,7,5,4,5
