GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Solucao1,com.mycompany.solucao1,BenchPress,208,0,12,0,39,0,17,0,11,0
Solucao1,com.mycompany.solucao1,PlanoTreino,606,0,56,0,126,0,49,0,21,0
Solucao1,com.mycompany.solucao1,GestorDesportivo,1302,0,86,0,223,0,106,0,63,0
Solucao1,com.mycompany.solucao1,AtivRepsPeso,35,64,10,0,6,18,7,6,2,6
Solucao1,com.mycompany.solucao1,AtivRepeticoes,34,61,10,0,6,17,7,6,2,6
Solucao1,com.mycompany.solucao1,Corrida,125,0,6,0,29,0,11,0,8,0
Solucao1,com.mycompany.solucao1,UtilizadorAmador,2,77,1,5,0,21,1,11,0,9
Solucao1,com.mycompany.solucao1,BicepCurls,208,0,12,0,39,0,17,0,11,0
Solucao1,com.mycompany.solucao1,LegPress,208,0,12,0,39,0,17,0,11,0
Solucao1,com.mycompany.solucao1,AtivDistancia,35,73,10,0,6,19,7,7,2,7
Solucao1,com.mycompany.solucao1,Menu,256,0,18,0,83,0,20,0,11,0
Solucao1,com.mycompany.solucao1,Flexoes,124,0,6,0,29,0,11,0,8,0
Solucao1,com.mycompany.solucao1,Abdominais,124,0,6,0,29,0,11,0,8,0
Solucao1,com.mycompany.solucao1,PlanoTreino.AtividadeIteracoes,110,0,10,0,26,0,14,0,9,0
Solucao1,com.mycompany.solucao1,Utilizador,504,510,48,16,92,134,73,25,42,24
Solucao1,com.mycompany.solucao1,Ciclismo,125,0,6,0,29,0,11,0,8,0
Solucao1,com.mycompany.solucao1,Btt,205,0,12,0,41,0,18,0,12,0
Solucao1,com.mycompany.solucao1,UtilizadorProfissional,5,74,1,5,2,19,2,10,1,8
Solucao1,com.mycompany.solucao1,Solucao1,33,0,2,0,9,0,4,0,3,0
Solucao1,com.mycompany.solucao1,Atividade,65,143,14,0,13,39,12,11,5,11
Solucao1,com.mycompany.solucao1,AppDesportiva,2025,0,175,0,509,0,128,0,24,0
Solucao1,com.mycompany.solucao1,AtivDistAltimetria,35,57,10,0,6,17,7,6,2,6
Solucao1,com.mycompany.solucao1,Trail,205,0,12,0,41,0,18,0,12,0
Solucao1,com.mycompany.solucao1,UtilizadorPraticanteOcasional,5,74,1,5,2,19,2,10,1,8
